Timestamp,2. Age,3. Maritial status,4. Amount of financial aid recieved ............Taka,6. Number of family members,7. Earning members of a family,8. Present status of the respondent,9. Present monthly income (in Taka),10. What do you want to do with this financial aid?,11. Do you have any specific business model?,12. What kind of business you want to start?,13. As a women. what kind of barrier you expect to find while starting a business?,14. How do your family members perceive your enterprential activities?,15. Do you think you have enough importance in your family?,16. Do you believe that after receieving this financial help your voice will be heard by your family members?,17. Do you have any authority making decisions?,18. Do you believe that you are financially independent at present ?,19. Does financial dependency curb your freedom of movement?,20. Mention your position in the following scale,21. Do you believe that your social status will increase after receiveing the financial aid?,"22. Are the local markets, farmer friendly?",23. Do you have any plan to reach your products to local markets?,"24. After 6 month, are they gain success?"
2/18/2021 12:19:12,36-45,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Start business,Yes,duck farm,"Family, Relatives, Neighbours",Not in a positive way,No,Yes,Sometimes,No,Yes,3,Yes,No,Yes,Yes
2/18/2021 12:21:03,36-45,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Start business,No,Duck Farming,"Family, Relatives, Neighbours",Negatively,No,Yes,No,No,Yes,2,Yes,No,Maybe,Yes
2/18/2021 12:24:10,36-45,Widow,2000 - 4000,4-6,1,Part-time worker,2000-4000,Start business,No,farming,"Relatives, Neighbours",positive way way,No,Yes,Sometimes,No,Yes,3,Yes,No,Maybe,Yes
2/18/2021 12:28:06,46+,Married,2000 - 4000,6-8,2,Housewife,2000-4000,Farming,Maybe,poltry farm,"Relatives, Neighbours",positive,No,Yes,Sometimes,No,Yes,3,Maybe,No,Maybe,Moderate
2/18/2021 12:30:22,18-25,Unmarried,2000 - 4000,4-6,1,unemployed,Below 2000,Start business,Maybe,farming,"Family, Relatives, Neighbours",N/A,No,Maybe,No,No,Yes,2,Yes,No,Maybe,Yes
2/18/2021 12:32:37,46+,Married,2000 - 4000,8+,1,Housewife,2000-4000,Start business,Yes,Product selling,"Family, Relatives",in a negative way,No,Yes,No,No,Yes,2,Maybe,No,Yes,Yes
2/18/2021 12:35:14,46+,Married,2000 - 4000,6-8,1,Part-time worker,4000-6000,Farming,Yes,farming,"Family, Relatives",positively,No,Yes,Sometimes,No,Maybe,3,,No,Yes,Yes
2/18/2021 12:36:56,46+,Widow,2000 - 4000,4-6,1,Housewife,Below 2000,Farming,Yes,farming,"Family, Relatives, Neighbours",in a posivite way,Maybe,Yes,Sometimes,No,Yes,2,Yes,No,Maybe,No
2/18/2021 12:38:49,26-35,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Use for unprocdutive things,No,N/A,"Family, Relatives, Neighbours",in a negative way,No,Yes,Sometimes,No,Yes,2,Maybe,No,No,No
2/18/2021 12:40:58,46+,Widow,2000 - 4000,6-8,2,Part-time worker,4000-6000,Farming,Yes,poltry farm,Relatives,in a posivite way,No,Maybe,No,Yes,Yes,2,Yes,No,Maybe,Yes
2/20/2021 10:23:48,46+,Married,2000 - 4000,6-8,2,Part-time worker,4000-6000,Use for unprocdutive things,No,,"Family, Relatives",negative,No,Maybe,Sometimes,No,Yes,2,Yes,No,No,No
2/20/2021 10:42:49,46+,Married,2000 - 4000,6-8,1,Housewife,2000-4000,Farming,Maybe,framing,"Family, Relatives",positively,No,Yes,Sometimes,Yes,Yes,2,Yes,No,Maybe,Moderate
2/20/2021 10:56:37,46+,Widow,2000 - 4000,4-6,1,Housewife,2000-4000,Start business,Yes,Selling product,"Family, Relatives, Neighbours",in a positive way,No,Yes,Sometimes,No,Yes,3,Yes,No,Yes,Yes
2/20/2021 10:59:05,36-45,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Farming,Yes,Duck farming,"Family, Relatives, Neighbours",positively,Yes,Yes,Sometimes,No,Yes,2,Yes,No,Yes,Yes
2/20/2021 11:04:35,18-25,Married,2000 - 4000,4-6,2,Housewife,2000-4000,Farming,Yes,farming,"Relatives, Neighbours",N/A,No,Maybe,Yes,No,Yes,2,Yes,No,No,Yes
2/20/2021 11:07:34,46+,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Farming,Yes,farming,"Relatives, Neighbours",good way,No,Yes,No,No,Yes,2,Yes,No,Yes,Yes
2/20/2021 11:09:58,46+,Married,2000 - 4000,6-8,1,Housewife,2000-4000,Farming,Yes,farming,"Relatives, Neighbours",,No,Yes,No,No,Yes,2,Yes,No,Maybe,Yes
2/20/2021 11:12:20,36-45,Married,2000 - 4000,6-8,2,Housewife,4000-6000,Farming,Yes,Selling product,"Relatives, Neighbours",good way,No,Yes,Sometimes,No,Yes,2,Yes,No,Yes,Moderate
2/20/2021 11:16:57,46+,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Farming,Yes,farming,"Family, Relatives, Neighbours",negatively,No,Yes,No,No,Yes,2,Yes,No,Yes,No
2/20/2021 11:20:51,46+,Married,2000 - 4000,6-8,2,Part-time worker,4000-6000,Invest,Yes,business,"Relatives, Neighbours",N/A,Maybe,Yes,Sometimes,No,Yes,3,Yes,No,Yes,No
2/23/2021 21:57:51,46+,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Use for unprocdutive things,No,N/A,"Family, Relatives, Neighbours",in a negative way,No,Maybe,Sometimes,No,Yes,2,Yes,,No,No
2/23/2021 22:06:08,36-45,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Farming,Maybe,farming,"Relatives, Neighbours",positively,Maybe,Yes,Sometimes,No,Yes,2,Yes,No,Yes,No
2/23/2021 22:14:06,36-45,Married,2000 - 4000,6-8,2,Full- time worker,4000-6000,Start business,Yes,Product selling,"Relatives, Neighbours",in a good way,No,No,Sometimes,Maybe,Yes,3,Yes,No,Yes,Yes
2/23/2021 22:17:45,46+,Widow,2000 - 4000,2-4,1,Housewife,2000-4000,Farming,Yes,farming,"Relatives, Neighbours",in a good way,Maybe,Yes,Sometimes,No,Yes,2,Yes,No,Maybe,Yes
2/23/2021 22:22:08,18-25,Unmarried,2000 - 4000,4-6,1,unemployed,2000-4000,Farming,Maybe,in a good way,"Relatives, Neighbours",N/A,No,Yes,No,No,Yes,1,Maybe,No,Maybe,Yes
3/1/2021 21:55:18,46+,Married,2000 - 4000,6-8,2,Housewife,4000-6000,Farming,Yes,Land farming,"Family, Relatives, Neighbours",in a negative way,No,Yes,No,No,Yes,1,Maybe,No,No,Yes
3/1/2021 21:56:31,46+,Widow,2000 - 4000,4-6,1,Housewife,2000-4000,Farming,Maybe,farming,"Relatives, Neighbours",N/A,Maybe,Yes,Sometimes,No,Yes,2,Yes,No,Maybe,No
3/1/2021 21:57:51,36-45,Married,2000 - 4000,6-8,1,Part-time worker,2000-4000,Invest,No,N/A,"Relatives, Neighbours",N/A,No,Maybe,Sometimes,No,Yes,2,Yes,No,No,No
3/1/2021 22:08:02,26-35,Married,2000 - 4000,6-8,1,Housewife,4000-6000,Farming,Maybe,Duck farming,"Family, Relatives, Neighbours",in a negative way,No,Yes,Sometimes,Yes,,2,Yes,No,Maybe,Moderate
3/1/2021 22:25:57,18-25,Married,2000 - 4000,4-6,2,Housewife,4000-6000,Repaire house or outher staff,Maybe,N/A,"Family, Relatives",in a negative way,Maybe,Maybe,Sometimes,No,,3,Maybe,No,No,No
3/1/2021 22:27:25,36-45,Married,2000 - 4000,6-8,1,Part-time worker,4000-6000,Farming,Yes,Duck farming,"Relatives, Neighbours",in a good way,Maybe,Yes,Sometimes,No,,3,Yes,No,Yes,Yes
3/1/2021 22:29:11,18-25,Unmarried,2000 - 4000,6-8,2,unemployed,4000-6000,Farming,Yes,Stiching,"Family, Relatives, Neighbours, Society",N/A,No,Yes,No,No,Yes,1,Maybe,No,Maybe,Yes
3/6/2021 13:02:16,46+,Married,2000 - 4000,8+,2,Part-time worker,4000-6000,Repaire house or outher staff,No,N/A,"Relatives, Neighbours",N/A,Maybe,Yes,Sometimes,Maybe,Maybe,3,Maybe,No,No,No
3/6/2021 13:04:55,46+,Married,2000 - 4000,6-8,1,Housewife,4000-6000,Farming,Yes,duck farming,"Family, Relatives, Neighbours",In a negative way,No,Maybe,Sometimes,No,Yes,2,Yes,No,Maybe,Yes
3/6/2021 13:07:36,26-35,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Farming,Yes,Farming,"Relatives, Neighbours, Society",In a good way,No,Yes,Sometimes,No,Maybe,3,Yes,No,Yes,Yes
3/6/2021 13:09:17,46+,Widow,2000 - 4000,6-8,3,Part-time worker,4000-6000,Start business,Yes,Product selling,"Relatives, Neighbours",in a good way,Maybe,Yes,Yes,Maybe,Maybe,4,Yes,No,Yes,Yes
3/6/2021 13:13:03,46+,Married,2000 - 4000,4-6,1,Housewife,2000-4000,Farming,No,farming,"Family, Relatives, Neighbours, Society",in a negative way,No,Maybe,No,No,Yes,2,Maybe,No,Maybe,Yes
3/6/2021 13:19:13,36-45,Married,2000 - 4000,4-6,2,Part-time worker,4000-6000,Start business,Yes,Product selling,"Relatives, Neighbours",in a positive way,Maybe,Yes,Sometimes,No,Maybe,3,Yes,No,Maybe,Yes
3/6/2021 13:24:38,18-25,Married,2000 - 4000,6-8,1,Housewife,2000-4000,Farming,Maybe,farming,"Relatives, Neighbours, Society",in a good way,Maybe,Yes,Sometimes,No,Maybe,2,Maybe,No,Maybe,Moderate
3/6/2021 13:26:17,26-35,Widow,2000 - 4000,4-6,1,Part-time worker,Below 2000,Farming,Yes,duck farming,"Relatives, Neighbours",in a good way,Maybe,Yes,Yes,No,Maybe,4,Yes,No,Maybe,Yes
3/10/2021 10:49:08,36-45,Married,2000 - 4000,4-6,1,Housewife,4000-6000,Use for unprocdutive things,Maybe,N/A,"Family, Relatives, Neighbours",negative,Maybe,Maybe,Sometimes,No,Maybe,2,Yes,No,No,No
3/10/2021 10:50:25,36-45,Married,2000 - 4000,4-6,2,Housewife,2000-4000,Farming,Yes,Poultry,"Relatives, Neighbours",in a positive way,Maybe,Yes,Sometimes,No,Maybe,3,Yes,No,Yes,No
3/10/2021 10:51:57,36-45,Married,2000 - 4000,6-8,2,Part-time worker,4000-6000,Farming,Yes,farming,Relatives,in a positive way,Yes,Yes,Yes,No,Maybe,4,Yes,No,Yes,Yes
